term_code,class_nbr,instructor_id_number
3,12136,1884
3,12137,1029
3,12144,2680
3,14508,548
3,14546,2680
3,14635,548
3,14636,548
3,14637,548
3,14670,2680
3,14893,548
3,14948,2680
3,15097,548
3,15293,548
3,15633,548
3,15656,548
3,15657,548
4,4974,486
4,4975,486
4,4976,2199
4,4977,2199
4,4978,486
4,4979,486
4,4980,486
4,4981,486
4,5091,2199
4,5092,2199
4,5125,2199
4,5126,2199
4,5143,2199
4,5144,2199
4,5899,121
4,5900,395
4,5901,3439
4,5902,118
4,5903,339
4,5906,2774
4,5907,2107
4,5908,3035
4,5909,2108
4,5910,118
4,5911,339
4,5913,2666
4,5915,592
4,5916,2107
4,5917,552
4,5918,3202
4,5922,3202
4,5923,2771
4,5925,3035
4,5929,589
4,5930,1686
4,5931,2950
4,5932,2772
4,5933,2108
4,5934,3034
4,5935,596
4,5936,3208
4,5937,2319
4,5938,2130
4,5939,2473
4,5940,1720
4,5941,3205
4,5943,2667
4,5944,2130
4,5945,3034
4,5946,3208
4,5947,594
4,5948,1685
4,5949,3203
4,5950,3209
4,5951,3206
4,5952,1860
4,5953,1886
4,5954,532
4,6057,2950
4,6267,2680
4,6268,3415
4,6269,2498
4,6271,1355
4,6272,2995
4,6273,2218
4,6274,2588
4,6276,1700
4,10902,2562
4,10914,3416
4,10915,2112
4,10918,939
4,11038,2986
4,11039,180
4,11040,1412
4,11041,2771
4,11043,3205
4,11045,2773
4,11046,1684
4,11047,1216
4,11049,1266
4,11051,2950
4,11052,1452
4,11053,3202
4,12356,2680
4,12878,1884
4,12879,1033
4,13387,548
4,13388,548
4,13530,2680
4,13531,2680
4,14728,1216
4,14776,2680
4,14779,2680
4,14959,3205
4,15171,2680
4,15265,548
4,15266,548
4,15267,548
4,15268,548
4,15282,2680
4,15283,2680
4,15284,2680
4,15415,2680
5,6615,486
5,6616,3234
5,6617,486
5,6618,2199
5,6619,2199
5,6620,2199
5,6621,2199
5,6622,486
5,6623,3234
5,6624,486
5,6715,486
5,6716,3234
5,6717,486
5,6718,2199
5,6719,2199
5,6720,2199
5,6721,2199
5,6722,2199
5,6723,2199
5,6724,2199
5,6725,2199
5,7511,2774
5,7512,3075
5,7513,453
5,7514,2130
5,7515,2108
5,7516,1453
5,7517,2165
5,7518,3079
5,7519,3199
5,7520,3034
5,7521,593
5,7522,2130
5,7523,395
5,7524,112
5,7525,1720
5,7526,1685
5,7528,455
5,7529,456
5,7530,1216
5,7531,2986
5,7532,2317
5,7533,3246
5,7536,1686
5,7537,3199
5,7538,2950
5,7539,2774
5,7540,2667
5,7541,596
5,7542,181
5,7543,1266
5,7544,2772
5,7545,3481
5,7546,1686
5,7547,3202
5,7548,1311
5,7549,2667
5,7552,1684
5,7553,121
5,7554,1266
5,7558,3203
5,7559,459
5,7560,337
5,7566,3209
5,7667,2957
5,7873,2680
5,7875,3497
5,7876,469
5,7877,1763
5,7878,442
5,7879,883
5,7880,2627
5,7881,939
5,7882,2157
5,7883,884
5,7884,443
5,7886,2628
5,7887,885
5,7888,3065
5,7974,886
5,7975,444
5,7985,1298
5,7987,445
5,10532,3488
5,10534,2986
5,10535,3489
5,10536,3202
5,10537,2317
5,10538,552
5,10539,1720
5,10540,2107
5,10541,2950
5,10542,2107
5,10544,25
5,10545,3209
5,12560,119
5,12600,2680
5,14195,548
5,14196,548
5,14197,548
5,14226,2680
5,14227,2680
5,14785,906
5,14786,3086
5,14909,2680
5,15076,548
5,15077,548
5,15078,548
5,15079,548
5,15142,2680
5,15143,2680
5,15323,2680
5,15353,548
5,15466,2680
6,4645,2696
6,4646,2696
6,4647,2199
6,4648,2199
6,4649,2696
6,4651,2696
6,4652,2696
6,4761,2199
6,4762,2199
6,4795,2199
6,4796,2199
6,4812,2199
6,4813,2199
6,5496,3079
6,5497,455
6,5498,1311
6,5499,456
6,5500,1453
6,5501,3481
6,5502,1860
6,5503,2317
6,5504,596
6,5505,2130
6,5507,932
6,5508,1266
6,5509,1453
6,5510,3199
6,5511,2107
6,5512,112
6,5513,3489
6,5514,25
6,5515,453
6,5516,25
6,5517,1720
6,5518,2772
6,5519,2317
6,5520,906
6,5521,337
6,5522,3488
6,5523,3439
6,5526,2950
6,5527,1075
6,5528,455
6,5529,3035
6,5530,1452
6,5531,3086
6,5532,3205
6,5533,2165
6,5534,2986
6,5535,2950
6,5536,1686
6,5537,1862
6,5538,2666
6,5539,906
6,5599,1862
6,5609,395
6,5610,1311
6,5611,2957
6,5612,3079
6,5613,3489
6,5614,459
6,5615,1684
6,5616,1684
6,5617,3481
6,5618,456
6,5620,2165
6,5664,3086
6,5805,2680
6,5806,886
6,5807,884
6,5808,3123
6,5809,3497
6,5810,469
6,5943,1763
6,5944,443
6,5945,2628
