student_id_number,term_code,class_nbr,completed_flag,official_grade,acad_plan,hours_carried
53997,6,4648,0,DROP,BS7253,16
53998,4,4974,1,B,BS2127,13
53998,4,5125,0,DROP,BS2127,13
53999,4,5922,1,D,BS2127,17
53999,3,6612,1,C-,BS2127,17
54000,4,10902,1,A-,BS3321,13
54000,4,5907,1,B+,BS3321,13
54003,5,7514,1,A,BB6121,15
54176,3,6267,0,WP,BA4252,15
54177,5,7540,1,B,BA5050,14
54178,3,5062,1,B+,BS3314,15
54178,3,5169,0,DROP,BS3314,15
54180,4,4974,1,C+,BS7274,15.5
54180,4,5953,1,A-,BS7274,15.5
54180,4,5125,0,DROP,BS7274,15.5
54183,3,6112,1,A,BS6306,16
54184,5,7560,1,A,ND0210,16
54184,3,6514,1,C+,BS2121,16
54185,4,14728,1,B,ND1206,16
54186,3,5061,1,C+,BS7257,17
54186,3,5163,0,DROP,BS7257,17
54187,3,6262,1,A,BJ6906,16
54189,3,5061,1,A,BS7257,17
54189,3,5163,0,DROP,BS7257,17
54190,3,5065,0,DROP,BS2520,22
54190,3,5060,0,WP,BS2520,22
54191,4,5939,1,A-,BA4101,15
54192,4,5930,1,A,BS6317,19
54194,3,6103,1,B,ND1201,16
54197,3,5066,0,DROP,BS7257,15
54197,3,5060,1,A,BS7257,15
54199,4,4974,1,B,BS7252,16
54199,4,5143,0,DROP,BS7252,16
54200,3,6072,0,F,BS6923,16
54201,4,5900,1,A,BS7252,15.5
54202,4,5948,0,WP,ND1105,16
54204,4,5915,1,C,ND1206,17
54205,3,6090,1,B,ND1206,15
54207,3,5061,0,WP,ND0910,16
54207,3,5165,0,DROP,ND0910,16
54208,4,5953,1,A,BA5149,18
54210,3,6087,1,C,ND1206,16
54211,4,5952,1,A-,BB6158,18
54216,4,5939,1,A,BB6156,18
54216,3,6616,1,B+,BB6156,17
54217,3,6079,1,A,ND8837,17
54220,4,14959,1,B+,BS6468,15
54221,4,5946,1,A,BS6922,15
54222,3,5062,1,C-,BS7251,15.5
54222,3,5168,0,DROP,BS7251,15.5
54223,3,6116,1,B+,BC5363,15
54224,4,6267,1,B-,BA4253,17
54224,5,7538,1,B-,BA4253,16
54225,4,6267,1,A,BA5232,18
54226,3,6509,1,D,ND8835,17
54228,4,11045,1,B+,BB6126,16
54229,4,5954,1,B+,ND8837,16
54230,3,6116,1,A-,ND1206,15
54231,3,6080,1,C,ND1208,15
54232,4,5939,1,A,BB6121,12
54405,3,6517,1,C+,ND0610,17
54406,3,6081,1,A-,BA4101,15
54408,4,11049,1,A,ND0610,19
54412,4,11049,1,B-,BA4253,15
54413,4,4977,0,DROP,BS2127,16
54413,4,4974,1,C-,BS2127,16
54418,4,5947,1,B,BA4253,15
54418,4,6269,1,C+,BA4253,15
54419,4,5929,1,A-,BA2129,16
54419,3,5061,1,C+,BA2129,15
54419,3,5164,0,DROP,BA2129,15
54423,3,6086,1,A,BS8156,16
54424,4,5909,1,B-,BS2121,17
54424,6,4761,0,DROP,BS2121,17
54424,6,4646,1,C,BS2121,17
54424,5,6617,1,D-,BS2121,16
54424,4,10915,1,B-,BS2121,17
54424,3,6515,1,D+,BS2121,16
54424,5,6725,0,DROP,BS2121,16
54425,3,5064,0,DROP,BS7251,15.5
54425,3,5060,1,A,BS7251,15.5
54426,3,6068,1,A,BS3335,16
54426,5,6718,0,DROP,BS3335,16
54426,5,6616,1,A,BS3335,16
54428,4,5917,1,A,BS8100,16
54429,4,5925,0,W,BB6156,13
54430,4,4974,1,A,BS8171,16
54430,4,5940,1,A,BS8171,16
54430,4,4977,0,DROP,BS8171,16
54435,3,6093,1,B+,ND5368,16
84600,6,4645,1,B+,BS2121,14
84600,6,4812,0,DROP,BS2121,14
54436,4,11045,1,A,BB6137,15
54437,4,10902,1,C,ND1206,16
54437,3,6516,1,C-,ND1206,15
54437,3,6069,1,A-,ND1206,15
54438,3,6107,1,A,ND1201,15
54439,3,6068,1,A,ND1220,15
54440,4,4974,1,D-,BS2127,16
