acad_plan,acad_plan_desc,acad_career,degree,college,dept_code,acad_plan_type,eff_status
ND3321,Geological Sciences,GRAD,,A&S,10,MAJ,A
ND3331,Physics,GRAD,,A&S,22,MAJ,A
ND4400,Political Sci Public Adm,GRAD,,A&S,11,MAJ,I
ND5110,Music,GRAD,,FAR,51,MAJ,I
ND5132,Acting,GRAD,,FAR,50,MAJ,I
ND5135,Playwriting,GRAD,,FAR,50,MAJ,I
ND5140,Theater Comprehensive,GRAD,,FAR,50,MAJ,I
ND5169,MA Photo Communication,GRAD,,FAR,53,MAJ,I
ME6875,Mid Child Lic Lang Arts & Math,GRAD,MED,EHS,34,MAJ,A
ME8518,Physical Education,GRAD,MED,EHS,34,MAJ,I
ME8582,Remedial Reading,GRAD,MED,EHS,34,MAJ,I
ME8746,Guid. & Couns. Human Relations,GRAD,MED,REG,35,MAJ,I
MS6364,"Apparel,Textiles & Merchandisi",GRAD,MSHCS,EHS,83,MAJ,A
ND8869,Early Child Generalist Endorse,GRAD,,EHS,34,MAJ,A
CTGSHG,"Gender, Sexualities & Health",GRAD,,A&S,77,CRT,A
CTEPPL,K-12 Educ Public Policy Leader,GRAD,,EHS,74,CRT,A
MA4416,"Law, Justice & Culture",GRAD,MA,A&S,65,MAJ,A
MM5199,"Cond: Choral, Orchestral, Wind",GRAD,MM,FAR,51,MAJ,A
BS6474,Nutrition Science,UGRD,BSFNS,HSP,81,MAJ,A
CTHRMU,Human Resource Management,UGRD,,COB,25,CRT,A
CTELCG,Engineering Leadership,GRAD,,ENT,46,CRT,A
CTBACG,Business Analytics,GRAD,,COB,25,CRT,A
ND9995,Graduate Certificate COB,GRAD,,COB,25,MAJ,A
OR5168,Stage Management,UGRD,,FAR,87,MIN,A
CNEEAF,Afro-Amer Studies for Elem Ed,UGRD,,,,CON,I
CNEEAN,Anthropology for Elem Ed,UGRD,,,,CON,I
CNEEEN,English for Elem Education,UGRD,,,,CON,I
CNEERU,Russian for Elem Education,UGRD,,,,CON,I
BF5155,Film,UGRD,BFA,FAR,87,MAJ,A
OR4242,Geog - Urban Plan & Sustain,UGRD,,A&S,9,MIN,A
CTENCG,Electronic Navigation,GRAD,,ENT,44,CRT,A
ND9855,Global Health,GRAD,,HSP,90,MAJ,A
MS6101,Professional MS in Management,GRAD,MSMGT,COB,25,MAJ,A
CTAMMU,Actor Musicianship: Music Focu,UGRD,,FAR,50,CRT,A
CTAMTU,Actor Musicianship: Theater,UGRD,,FAR,50,CRT,A
BS8178,Exercise Physiology Pre-Athlet,UGRD,BSPEX,HSP,81,MAJ,A
OR6602,Social Service,UGRD,,HSP,19,MIN,A
OR5151,Dance,UGRD,,FAR,52,MIN,I
ORDNCH,Dance: History and Theory,UGRD,,FAR,52,MIN,A
ND9971,Post-Mast Adult Geron Acute,GRAD,,HSP,32,MAJ,I
ND9972,Post-Mast Family Nurse Pract,GRAD,,HSP,32,MAJ,I
ND9987,Psych Mental Health Nurse Prac,GRAD,,HSP,32,MAJ,I
CTFIPL,Financial Planning Certificate,UGRD,,COB,24,CRT,A
AA5016,Travel & Tourism Management,UGRD,AAS,RHE,59,MAJ,I
CTACHG,African Community Health Svcs,GRAD,CERTG,HSP,90,CRT,A
CTBING,Bioinformatics,GRAD,CERTG,ENT,44,CRT,A
CTFNPG,Post - Mast Family Nurse Pract,GRAD,CERTG,HSP,32,CRT,A
CTMLCG,Management and Leadership,GRAD,CERTG,COB,25,CRT,A
CTOAMG,Operations & Supply Chain Mgt,GRAD,CERTG,COB,25,CRT,A
CTTEFL,Teaching English Foreign Lang,GRAD,CERTG,A&S,13,CRT,A
CTEMLC,Environmental Change Mgmt Lead,GRAD,,GVS,78,CRT,A
CTISEG,Engineering Analytics,GRAD,CERTG,ENT,46,CRT,A
ENDREG,Graduate Reading Endorsement,GRAD,,EHS,,END,A
CTACHG,African Community Health Svcs,GRAD,,HSP,90,CRT,A
CTSPDG,Sport and Development,GRAD,,INST,,CRT,A
CTHPCG,Health Policy,GRAD,,HSP,80,CRT,A
AU5317,Audiology,GRAD,AUD,HSP,79,MAJ,A
AU5378,Audiology,GRAD,AUD,HSP,79,MAJ,A
DN1235,Doctor of Nursing Practice,GRAD,DNP,HSP,32,MAJ,A
MA0309,Individual Prog of Study-INT,GRAD,MA,INST,0,MAJ,I
MA4103,Experimental Psychology,GRAD,MA,A&S,18,MAJ,I
MA4209,Intl Development Studies,GRAD,MA,INST,3,MAJ,A
MA5129,Theater History and Criticism,GRAD,MA,FAR,50,MAJ,I
MS6402,Child Development & Fam Life,GRAD,MSHCS,HSP,80,MAJ,I
MS6469,Child and Family Studies,GRAD,MSCFS,HSP,80,MAJ,A
MS6604,Social Work,GRAD,MSW,HSP,80,MAJ,A
MS6927,Journalism,GRAD,MS,COM,30,MAJ,A
MS6956,Environmental Studies,GRAD,MSES,GVS,78,MAJ,A
MS8159,Sports Administration (Hk),GRAD,MSA,COB,84,MAJ,I
MS8161,Sports Administration,GRAD,MSA,COB,84,MAJ,A
MS8605,Home Economics,GRAD,MS,HSP,36,MAJ,I
MS8793,Athletic Training,GRAD,MSPE,HSP,39,MAJ,I
MS8796,Physical Education,GRAD,MSPE,HSP,39,MAJ,I
MS8876,Coaching Education,GRAD,MSRSS,HSP,39,MAJ,I
PH8748,Reading Supervision,GRAD,PHD,EHS,34,MAJ,I
ND9983,War and Peace Studies,GRAD,,INST,3,MAJ,A
CTSALE,Sales,UGRD,,COB,27,CRT,A
OR2121,Biological Sciences,UGRD,,A&S,21,MIN,A
OR4101,Psychology,UGRD,,A&S,18,MIN,A
ORJAPN,Japanese,UGRD,,A&S,13,MIN,A
ND5185,Music Composition,GRAD,,FAR,51,MAJ,I
ND5228,German,GRAD,,A&S,16,MAJ,I
ND5243,Liberal Studies,GRAD,,A&S,17,MAJ,I
ND5323,Speech-Language Pathology,GRAD,,HSP,79,MAJ,I
ND5344,Interpersonal Communication,GRAD,,COM,29,MAJ,I
ND5360,COMS-Rhetoric/Public Culture,GRAD,,COM,29,MAJ,I
ND5361,COMS-Health Communication,GRAD,,COM,29,MAJ,I
ND5376,COMS-Communication Studies,GRAD,,COM,29,MAJ,A
ND6165,Master of Accountancy,GRAD,,COB,23,MAJ,A
BC8845,Telecommunications,UGRD,BST,COM,31,MAJ,I
BC8852,TCOM-Media/International,UGRD,BSC,COM,31,MAJ,I
BC8853,TCOM-Media/Technologies,UGRD,BSC,COM,31,MAJ,I
BF1913,General Theater,UGRD,BFATH,FAR,87,MAJ,A
BF1933,Art,UGRD,BFAA,FAR,53,MAJ,I
BF5123,Art History,UGRD,BFA,FAR,53,MAJ,I
BF5124,Painting,UGRD,BFA,FAR,53,MAJ,I
BF5125,Art Pre-Major,UGRD,BFA,FAR,53,MAJ,I
BF5144,Art Therapy,UGRD,BFA,FAR,53,MAJ,I
BF8526,Art,UGRD,BFA,FAR,53,MAJ,I
BF8574,Speech & Hearing Therapy,UGRD,BFA,FAR,53,MAJ,I
BF8726,Industrial Design,UGRD,BFA,FAR,,MAJ,I
ND6275,College Student Personnel,GRAD,,EHS,35,MAJ,I
ND6841,Reading Education,GRAD,,EHS,34,MAJ,A
ND6858,Adolescent/Young Adult License,GRAD,,EHS,34,MAJ,I
ND6859,AYA Physical Science,GRAD,,EHS,34,MAJ,I
ND6942,Individual Program of Study,GRAD,,GRAD,0,MAJ,A
ND6947,Molecular/Cellular Biol,GRAD,,A&S,21,MAJ,A
BJ8522,Journalism,UGRD,BSJ,COM,30,MAJ,I
BM5112,Applied Music,UGRD,BMUS,FAR,51,MAJ,I
BM5119,Music Therapy-Education,UGRD,BMUS,FAR,51,MAJ,I
BS1222,Baccalaureate Nursing,UGRD,BSN,HSP,32,MAJ,A
BS1937,Neuroscience,UGRD,BSNEURO,A&S,21,MAJ,A
BS1948,Geological Sciences,UGRD,BSGS,A&S,10,MAJ,A
BS2113,PBIO Environmental Biology,UGRD,BS,A&S,5,MAJ,I
ND8132,Foundation of Teach/Coaching,GRAD,,HSP,39,MAJ,I
ND8136,Sport Physiology & Adult Fitne,GRAD,,HSP,81,MAJ,I
ND8137,Community Health/Promotion,GRAD,,HSP,80,MAJ,I
ND8146,Health Admin/MBA,GRAD,,HSP,80,MAJ,I
ND8503,Mathematics,GRAD,,EHS,34,MAJ,A
ND8760,INCO-Speech Education,GRAD,,COM,29,MAJ,I
ND8773,Theater: General,GRAD,,FAR,50,MAJ,I
PH0209,Individual Prog of Study-HSP,GRAD,PHD,HSP,0,MAJ,I
PH0409,Individual Prog of Study-A&S,GRAD,PHD,A&S,0,MAJ,I
PH0411,Microbiology,GRAD,PHD,A&S,21,MAJ,I
BS2140,Zool Pre-Medicine,UGRD,BS,A&S,21,MAJ,I
BS2511,Zool Animal Behavior,UGRD,BS,A&S,21,MAJ,I
BS2520,Bios/Cell & Molecular Biology,UGRD,BS,A&S,21,MAJ,A
BS3316,Chemistry/Biochem,UGRD,BS,A&S,6,MAJ,A
BS4231,Geography,UGRD,BS,A&S,9,MAJ,A
BS4234,Geog Urban Regional Planning,UGRD,BS,A&S,9,MAJ,A
BS4236,Geog Cartography,UGRD,BS,A&S,9,MAJ,I
PH1009,Individual Prog of Study-FAR,GRAD,PHD,FAR,0,MAJ,I
PH2018,Botany,GRAD,PHD,A&S,5,MAJ,I
PH2111,Plant Biology,GRAD,PHD,A&S,5,MAJ,A
PH4103,Experimental Psychology,GRAD,PHD,A&S,18,MAJ,A
PH5315,Media Arts and Studies,GRAD,PHD,COM,31,MAJ,I
PH8616,Journalism,GRAD,PHD,COM,30,MAJ,I
PH8761,Cross Cultural Communication,GRAD,PHD,COM,29,MAJ,I
PH8860,Mass Communication-TCOM,GRAD,PHD,COM,31,MAJ,I
MA0809,Individual Prog of Study-EHS,GRAD,MA,EHS,0,MAJ,I
BS4238,Geography/Meteorology,UGRD,BS,A&S,9,MAJ,A
BS4242,Geography - Urb Plan & Sustain,UGRD,BS,A&S,9,MAJ,A
BS6179,Middle Child Lang Arts/Science,UGRD,BSED,EHS,34,MAJ,A
BS6205,Earth Science-Chemistry,UGRD,BSED,EHS,34,MAJ,I
BS6214,Social Studies Comprehensive,UGRD,BSED,EHS,34,MAJ,I
BS6218,Multihandicapped,UGRD,BSED,EHS,34,MAJ,I
BS6232,French,UGRD,BSED,EHS,34,MAJ,A
BS6242,Music Ed -Choral Emphasis,UGRD,BSED,EHS,34,MAJ,I
BS6252,Bio-Phyics,UGRD,BSED,EHS,34,MAJ,I
BS6253,Bio-General Science,UGRD,BSED,EHS,34,MAJ,I
BS6254,Bio-Earth Science,UGRD,BSED,EHS,34,MAJ,I
BS6258,Earth Science,UGRD,BSED,EHS,34,MAJ,I
BS6259,Physics,UGRD,BSED,EHS,34,MAJ,I
BS6291,Home Econ Educ & Extension,UGRD,BSHEC,HSP,36,MAJ,I
BS6292,"Housing, Furniture & Mgt.",UGRD,BSHEC,HSP,36,MAJ,I
BS6303,Math,UGRD,BSED,EHS,34,MAJ,I
ME6209,Secondary Education,GRAD,MED,EHS,34,MAJ,I
ME6211,Special Education,GRAD,MED,EHS,34,MAJ,I
ME6237,Moderate-Intensive Educ Needs,GRAD,MED,EHS,34,MAJ,A
ME6296,CMH/Rehabilitation Counseling,GRAD,MED,EHS,35,MAJ,I
ME6318,Moderate-Intensive/Early Child,GRAD,MED,EHS,34,MAJ,I
ME6319,Mild-Mod/Mod-Int,GRAD,MED,EHS,34,MAJ,I
ME6395,Physical Science - Phys & Chem,GRAD,MED,EHS,34,MAJ,A
ME6839,Middle Child Education,GRAD,MED,EHS,34,MAJ,A
ME6840,Elem School Supervision,GRAD,MED,EHS,34,MAJ,I
ME6842,Middle School Education,GRAD,MED,EHS,34,MAJ,I
ME6858,Adolescent/Young Adult License,GRAD,MED,EHS,34,MAJ,I
AA8715,Child Development,UGRD,AA,UNC,58,MAJ,I
BS6311,Music Education,UGRD,BSED,EHS,34,MAJ,I
BS6312,Physical Education,UGRD,BSED,EHS,34,MAJ,I
BS6354,Special Education Early Chld,UGRD,BSHEC,HSP,36,MAJ,I
BS6372,Job Training -Child Care Serv,UGRD,BSHEC,HSP,36,MAJ,I
BS6391,Training in Food Service,UGRD,BS,HSP,36,MAJ,I
BS6394,Early Child Intervention Spec,UGRD,BSED,EHS,34,MAJ,I
BS6396,Physical Science - Physics,UGRD,BSED,EHS,34,MAJ,A
BS6407,HEC Interior Design,UGRD,BS,HSP,36,MAJ,I
BS6412,Dietetics,UGRD,BS,HSP,36,MAJ,I
BS6417,Customer Service,UGRD,BAHCS,EHS,83,MAJ,A
BS6451,Family Study,UGRD,BSHEC,HSP,80,MAJ,I
AS1104,Associate in Science,UGRD,AS,UNC,58,MAJ,A
BA1908,Political Science,UGRD,AB-POL,A&S,11,MAJ,A
BA1910,Economics,UGRD,AB-ECON,A&S,26,MAJ,I
BA1918,Communication Studies,UGRD,ABCOMS,COM,29,MAJ,I
BA1928,Zoology,UGRD,AB,A&S,21,MAJ,I
BA1935,Art History,UGRD,BAARTH,FAR,53,MAJ,A
BA2134,Zool Environmental Biology,UGRD,AB,A&S,21,MAJ,I
BA2509,Bios Environmental Biology,UGRD,AB,A&S,21,MAJ,I
BS6954,Information Graphics,UGRD,BSVC,COM,53,MAJ,I
BS7253,Electrical Engineering,UGRD,BSEE,ENT,44,MAJ,A
BS7264,Chemical Engr-Energy&Env Track,UGRD,BSCHE,ENT,42,MAJ,A
BS8106,Physical Education,UGRD,BSPE,EHS,82,MAJ,A
BS8117,Athletic Training,UGRD,BSAT,HSP,81,MAJ,A
BS8125,Youth and Sports,UGRD,BSSPS,HSP,39,MAJ,I
BS8156,Outdoor Recreation & Education,UGRD,BSRS,EHS,82,MAJ,A
BS8167,Sport Management,UGRD,BSM,COB,84,MAJ,A
BS8169,Phys Activity & Sport Coaching,UGRD,BSPE,EHS,82,MAJ,A
BS8880,Outdoor Recreation & Education,UGRD,BSRS,EHS,82,MAJ,I
BA2513,Zool Entomology,UGRD,AB,A&S,21,MAJ,I
BA3102,Math Prep. for Advanced Tng.,UGRD,BA,A&S,15,MAJ,I
BA3104,Math Pre-Meteorology,UGRD,BA,A&S,15,MAJ,I
BA3105,Math Prep. for Actuarial Sci,UGRD,BA,A&S,15,MAJ,I
BA3333,Applied Physics,UGRD,AB,A&S,22,MAJ,I
BA3337,Engineering Physics,UGRD,AB,A&S,22,MAJ,I
BA4203,Political Sci Pre-Law,UGRD,BA,A&S,11,MAJ,A
BA4251,Sociology,UGRD,BA,A&S,20,MAJ,A
BA4406,Global Studies - Asia,UGRD,BA,INST,3,MAJ,A
CNEEIC,Interpersonal Comm for Elem Ed,UGRD,,,,CON,A
CNEESC,Science for Elem Education,UGRD,,,,CON,A
CNEESI,Swahili for Elem Education,UGRD,,,,CON,A
ND0611,Pre-Business COB,UGRD,,COB,0,MAJ,A
ND0810,Undecided Education,UGRD,,EHS,0,MAJ,A
ND1201,Undecided,UGRD,,UNC,58,MAJ,A
ND1211,Individual Program of Study,UGRD,,UNC,0,MAJ,A
ND1212,Specialized Studies,UGRD,,UNC,58,MAJ,I
ND1223,Pre-Bach Nursing,UGRD,,HSP,32,MAJ,A
ND2506,Bios Pre-Pharmacy,UGRD,,A&S,21,MAJ,I
BB6149,Business Administration,UGRD,BBA,COB,25,MAJ,A
BB8705,Management-Manpower Track,UGRD,BBA,COB,,MAJ,I
BB8784,Management,UGRD,BBA,COB,25,MAJ,I
BC5303,INCO-General Speech W/Cert.,UGRD,BSC,COM,29,MAJ,I
BC5311,Media Studies,UGRD,BSC,COM,31,MAJ,A
BC5343,COMS-Political Communication,UGRD,BSC,COM,29,MAJ,I
BC5347,COMS-Organization Comm.,UGRD,BSC,COM,29,MAJ,I
BC5372,MDIA - Screenwriting & Prod,UGRD,BSC,COM,31,MAJ,A
BA5230,English Literature & Writing,UGRD,BA,A&S,8,MAJ,A
ND5153,General Art,UGRD,,FAR,53,MAJ,A
ND5508,Pre-Assoc. in Individ. Studies,UGRD,,UNC,58,MAJ,A
ND6383,Interior Architecture,UGRD,,FAR,53,MAJ,I
ND8127,Athletic Training/Health Educ,UGRD,,HSP,81,MAJ,I
ND8840,Pre Sport Management,UGRD,,COB,84,MAJ,A
ND9810,A&S-Exchange,UGRD,,A&S,0,MAJ,A
ND9815,FAR-Exchange,UGRD,,FAR,0,MAJ,A
ND9816,UNC-Exchange,UGRD,,UNC,58,MAJ,A
ND9817,HSP-Exchange,UGRD,,HSP,0,MAJ,A
ND9915,EDU-Nondegree,UGRD,,EHS,0,MAJ,A
ND9917,FAR-Nondegree,UGRD,,FAR,0,MAJ,A
ND9919,HSP-Nondegree,UGRD,,HSP,0,MAJ,A
ND9950,Summer Only,UGRD,,UNC,58,MAJ,A
NDCOM,COM-Nondegree for Minors,UGRD,NONDEGRE,COM,0,MAJ,A
NDHSP,HSP-Nondegree for Minors,UGRD,NONDEGRE,HSP,0,MAJ,A
NDHTC,HTC-Nondegree for Minors,UGRD,NONDEGRE,HTC,0,MAJ,A
NDRHE,RHE-Nondegree for Minors,UGRD,NONDEGRE,RHE,0,MAJ,A
BA6393,Community Home Service,UGRD,AB,HSP,36,MAJ,I
BA6414,Fashion Retail Merchandising,UGRD,AB,HSP,36,MAJ,I
BA6601,Social Work,UGRD,BA,HSP,80,MAJ,A
BA6934,Journalism Newswriting/Edit,UGRD,BA,COM,30,MAJ,I
BA6936,Journalism Broadcast News,UGRD,BA,COM,30,MAJ,I
BA8608,Cutler Program,UGRD,AB,UNC,58,MAJ,I
BA8639,Southeast Asia Studies,UGRD,AB,INST,,MAJ,I
BA8808,INCO-Comm. in Human Services,UGRD,BA,COM,29,MAJ,I
BA8817,Interpersonal Communication,UGRD,BA,COM,29,MAJ,I
CTGLOU,Global Learning Community,UGRD,,COM,,CRT,I
CTWSTV,Women's Studies,UGRD,,A&S,,CRT,I
OR7257,Mechanical Engineering,UGRD,,ENT,48,MIN,I
OR8891,Retail Merchandising,UGRD,,HSP,,MIN,I
ORDART,Dramatic Arts,UGRD,,,,MIN,I
ORDIET,Dietetics and Comm Nutrition,UGRD,,,,MIN,I
ORJOUR,Journalism,UGRD,,,,MIN,I
ORSOPS,Social Psychology,UGRD,,,,MIN,I
ORTCOM,Media Arts & Studies,UGRD,,COM,,MIN,I
SF6202,Bookkeeping,UGRD,,EHS,34,SEC,I
SFSEEC,Economics,UGRD,,,,SEC,I
SFSEJM,Journalism,UGRD,,,,SEC,I
CTSAFS,Sales with Fin Svcs Focus,UGRD,,COB,,CRT,I
CTSASM,Sales Spec in Media Sales,UGRD,,COB,,CRT,I
CTENTR,Entrepreneurship,UGRD,,COB,25,CRT,A
OR5151,Dance,UGRD,,FAR,87,MIN,A
ORDNCH,Dance: History and Theory,UGRD,,FAR,87,MIN,A
ORTHAR,Theater,UGRD,,FAR,87,MIN,A
ORARTM,Art,UGRD,,FAR,53,MIN,A
CTSOME,Social Media,UGRD,,COM,75,CRT,A
CTASIA,Asian Studies,UGRD,,INST,3,CRT,A
CTTECH,Technology and Society,UGRD,,A&S,26,CRT,A
AA1114,Arts and Humanities Emphasis,UGRD,AA,UNC,58,MAJ,A
AA2342,Associate in Nursing,UGRD,AAS,HSP,60,MAJ,A
AA5015,Office Management Tech,UGRD,AAB,RHE,59,MAJ,I
AA5201,Human Services Tech,UGRD,AAS,RHE,59,MAJ,A
AA5318,Electronic Technology,UGRD,AAS,RHE,60,MAJ,I
AA5505,Law Enforcement Tech,UGRD,AAS,RHE,59,MAJ,A
AA5801,Associate in Nursing,UGRD,AAS,RHE,60,MAJ,I
AA7268,Aviation Flight Technology,UGRD,AAS,ENT,41,MAJ,A
BS8514,Home Economics Education,UGRD,BSHEC,HSP,36,MAJ,I
BS8517,English Composition,UGRD,BSED,EHS,34,MAJ,I
BS8559,Human Nutrition & Food Service,UGRD,BSHEC,EHS,34,MAJ,I
BS8561,Industrial Arts,UGRD,BSED,EHS,34,MAJ,I
BS8563,Interpersonal Communication,UGRD,BSED,EHS,34,MAJ,I
BS8610,School Nurse,UGRD,BSED,EHS,34,MAJ,I
BS8646,Athletic Training/Health Educ,UGRD,BSH,HSP,39,MAJ,I
MA5323,Speech-Language Pathology,GRAD,MAHSLS,HSP,79,MAJ,I
MA5331,Rhetorical Criticism,GRAD,MA,COM,29,MAJ,I
MA5362,COMS--Relating and Organizing,GRAD,MA,COM,29,MAJ,A
MA8723,Audiology,GRAD,MA,HSP,,MAJ,I
MA8769,Speech Pathology,GRAD,MA,HSP,28,MAJ,I
MB6123,General Business,GRAD,MBA,COB,25,MAJ,A
MB6143,MBA Brazil,GRAD,MBA,COB,25,MAJ,I
MB6144,MBA China,GRAD,MBA,COB,25,MAJ,I
BS8680,"Consumer Homemaking, Coop Ext",UGRD,BSHEC,HSP,,MAJ,I
BS8744,Social Studies Comprehensive,UGRD,BSED,EHS,34,MAJ,I
BS8758,Airway Science,UGRD,BSAS,ENT,41,MAJ,I
BS8763,Music Education,UGRD,BSED,EHS,,MAJ,I
BS8765,Speech,UGRD,BSED,EHS,34,MAJ,I
BS8807,Recreation Management,UGRD,BSED,EHS,,MAJ,I
MB6172,PMBA-Accounting Concentration,GRAD,MBA,COB,25,MAJ,A
MB8717,Acct and Quantitative Methods,GRAD,MBA,COB,25,MAJ,I
MF5173,Painting,GRAD,MFA,FAR,53,MAJ,I
MF5174,Printmaking,GRAD,MFA,FAR,53,MAJ,A
MF5176,Graphic Design,GRAD,MFA,FAR,53,MAJ,A
MF5377,Communication Media Arts,GRAD,MFA,COM,75,MAJ,A
MF6942,Individual Program of Study,GRAD,MFA,FAR,0,MAJ,I
MH8137,Community Health/Promotion,GRAD,MHA,HSP,80,MAJ,I
MH8603,Individual Prog of Study - HHS,GRAD,MHSA,HSP,0,MAJ,I
ML5243,Liberal Studies,GRAD,MLS,A&S,17,MAJ,I
MM5189,Music--Performance and Accomp,GRAD,MM,FAR,51,MAJ,I
MM5190,Music Education,GRAD,MM,FAR,51,MAJ,A
MS1224,Family Nurse Practitioner,GRAD,MSN,HSP,32,MAJ,A
MS1225,Nurse Educator,GRAD,MSN,HSP,32,MAJ,A
MS1231,Acute Nrse Pract & Nrse Ed,GRAD,MSN,HSP,32,MAJ,I
MS2517,Biological Sciences,GRAD,MS,A&S,21,MAJ,A
MS4104,Clinical Psychology,GRAD,MS,A&S,18,MAJ,A
MS5345,Journalism,GRAD,MS,COM,30,MAJ,I
MS6121,Accounting,GRAD,MSAC,COB,23,MAJ,I
ME6868,AYA Integrated Social Studies,GRAD,MED,EHS,34,MAJ,A
ND3111,Mathematics,GRAD,,A&S,15,MAJ,A
ND4206,African Studies,GRAD,,INST,3,MAJ,A
ND4208,Southeast Asia Studies,GRAD,,INST,3,MAJ,I
ND4209,Development Studies,GRAD,,INST,3,MAJ,A
ND5133,Children Drama,GRAD,,FAR,50,MAJ,I
ND5159,Production Design,GRAD,,FAR,50,MAJ,I
ND5174,Printmaking,GRAD,,FAR,53,MAJ,A
ND5175,Sculpture,GRAD,,FAR,53,MAJ,A
ME8503,Mathematics,GRAD,MED,EHS,34,MAJ,I
ME8538,Elem. Principalship,GRAD,MED,REG,35,MAJ,I
ME8671,Elementary School Admin,GRAD,MED,REG,35,MAJ,I
MS6359,Hospitality and Tourism,GRAD,MSHCS,EHS,83,MAJ,A
MS8141,Coaching Education,GRAD,MSRSS,EHS,82,MAJ,A
PH6269,Curriculum and Instruction,GRAD,PHD,EHS,34,MAJ,A
ND9990,K-12 Educ Public Policy Leader,GRAD,,EHS,74,MAJ,A
ND8503,Mathematics,GRAD,,EHS,34,MAJ,I
ND9989,"Gender, Sexualities & Health",GRAD,,A&S,77,MAJ,A
CTFING,Finance,GRAD,,COB,25,CRT,A
CTOAMG,Operations & Supply Chain Mgt,GRAD,,COB,25,CRT,A
BF5200,Acting - Musical Theater,UGRD,BFA,FAR,87,MAJ,A
CNEEHT,History for Elem Education,UGRD,,,,CON,I
CNEEIC,Interpersonal Comm for Elem Ed,UGRD,,,,CON,I
CNEEPS,Political Science for Elem Ed,UGRD,,,,CON,I
CNEESC,Science for Elem Education,UGRD,,,,CON,I
ND6164,Master of Accountancy,GRAD,,COB,23,MAJ,I
CTESLG,Experimental Study of Language,GRAD,,HSP,79,CRT,A
ND9850,Healthcare Leadership,GRAD,,HSP,90,MAJ,A
MS6100,MS in Management,GRAD,MSMGT,COB,25,MAJ,A
BF5048,Theater Performance - Acting,UGRD,BFA,FAR,87,MAJ,A
ND6340,HSP-Und/integrated HC Studies,UGRD,,HSP,90,MAJ,A
MS6327,Professional Tennis Management,GRAD,MSRSS,EHS,82,MAJ,A
MS6607,Social Work,GRAD,MSW,HSP,19,MAJ,A
BS8176,Outdoor Recreation & Education,UGRD,BSPRLS,EHS,82,MAJ,A
ND4243,GIS: Geospat Analysis & Prog,GRAD,,A&S,9,MAJ,A
BF5048,Theater Performance - Acting,UGRD,BFA,FAR,50,MAJ,A
MA5056,Arts Administration,GRAD,MA,FAR,53,MAJ,A
ND9856,Accounting -GRADN,GRAD,,COB,23,MAJ,A
MS8181,Exercise Physiology Human Perf,GRAD,MS,HSP,81,MAJ,A
AA8707,Assoc RTV Performance Prod,UGRD,AAS,UNC,58,MAJ,I
BB6137,Analytics and Information Syst,UGRD,BBA,COB,67,MAJ,A
CTDACG,Data Analysis,GRAD,CERTG,A&S,65,CRT,A
CTDIAG,Diabetes,GRAD,CERTG,HSP,81,CRT,A
CTLAMG,Latin American Studies,GRAD,CERTG,INST,3,CRT,A
CTMUSG,Performance,GRAD,CERTG,FAR,51,CRT,A
CTNEDG,Post-Masters Nurse Educator,GRAD,CERTG,HSP,32,CRT,A
BS6228,Early Childhood,UGRD,BSED,EHS,34,MAJ,A
CTFPCU,Financial Programming Cert,UGRD,,COB,24,CRT,A
CTMSPR,Media for STEM Professionals,GRAD,CERTG,COM,75,CRT,A
CTGISG,Geographic Information Science,GRAD,,A&S,9,CRT,A
CTEDSP,Educational Specialist,GRAD,,EHS,86,CRT,I
CTAFRG,African Studies,GRAD,,INST,3,CRT,A
CTHCLG,Healthcare Leadership,GRAD,,HSP,90,CRT,A
CTCING,Clinical Informatics,GRAD,,HSP,90,CRT,A
CTGISA,GIS: Geospat Analysis & Prog,GRAD,,A&S,9,CRT,A
DP8150,Physical Therapy,GRAD,DPT,HSP,79,MAJ,I
MA0909,Individual Prog of Study-ENT,GRAD,MA,ENT,0,MAJ,I
MA4211,History,GRAD,MA,A&S,12,MAJ,I
MS6351,Family Studies,GRAD,MSHCS,HSP,80,MAJ,I
MS6416,Food and Nutrition,GRAD,MSHCS,HSP,81,MAJ,I
MS7271,Civil Engineering,GRAD,MS,ENT,43,MAJ,A
MS8111,Physiology of Exercise,GRAD,MSPEX,HSP,81,MAJ,A
MS8600,Home Economics,GRAD,MS,HSP,36,MAJ,I
MS8612,Human Dev. & Family Ecology,GRAD,MS,COM,29,MAJ,I
MS8672,Human Nutrition & Food Science,GRAD,MSHEC,HSP,36,MAJ,I
PH6277,Ed Research and Evaluation,GRAD,PHD,EHS,74,MAJ,A
PH6843,Secondary School Supervision,GRAD,PHD,EHS,34,MAJ,I
PH6856,Science Education,GRAD,PHD,EHS,34,MAJ,A
PH6944,General Education,GRAD,PHD,EHS,0,MAJ,I
CTJWST,Jewish Studies,UGRD,,A&S,12,CRT,A
OR3101,Mathematics,UGRD,,A&S,15,MIN,A
OR4233,Geography/Meteorology,UGRD,,A&S,9,MIN,A
OR5224,Russian,UGRD,,A&S,16,MIN,A
OR5231,English,UGRD,,A&S,8,MIN,A
OR5241,Philosophy,UGRD,,A&S,17,MIN,A
ORIART,Interdisciplinary Arts,UGRD,,FAR,55,MIN,A
ND5183,Music History & Literature,GRAD,,FAR,51,MAJ,I
